worker,position,time,month,activity
Alicia Taylor,Compensation Administrator,Afternoon,Janfirsthalf,Request One-Time Payment
Alicia Taylor,Compensation Administrator,Morning,Augsecondhalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Morning,Febsecondhalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Morning,Sepfirsthalf,Edit Compensation Package
Alicia Taylor,Compensation Administrator,Early Day,Sepsecondhalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Afternoon,Aprsecondhalf,Maintain Compensation Steps
Alicia Taylor,Compensation Administrator,Afternoon,Octfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Morning,Jansecondhalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Nightfall,Febsecondhalf,Request Compensation Change
Alicia Taylor,Compensation Administrator,Afternoon,Marsecondhalf,View Compensation
Alicia Taylor,Compensation Administrator,Nightfall,Aprsecondhalf,Manage Period Activity Pay Assignments
Alicia Taylor,Compensation Administrator,Afternoon,Marfirsthalf,View Total Rewards
Alicia Taylor,Compensation Administrator,Early Day,Decfirsthalf,Compensation Plan Assignment Audit
Alicia Taylor,Compensation Administrator,Afternoon,Junfirsthalf,Maintain ~Locality Pay~
Alicia Taylor,Compensation Administrator,Nightfall,Augsecondhalf,Request Compensation Change
Alicia Taylor,Compensation Administrator,Afternoon,Aprfirsthalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Afternoon,Octsecondhalf,In Progress Compensation Changes
Alicia Taylor,Compensation Administrator,Early Day,Decfirsthalf,Maintain ~Locality Pay~
Alicia Taylor,Compensation Administrator,Afternoon,Febfirsthalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Nightfall,Novfirsthalf,Request Compensation Change
Alicia Taylor,Compensation Administrator,Nightfall,Decfirsthalf,Edit Compensation Package
Alicia Taylor,Compensation Administrator,Afternoon,Febfirsthalf,Request One-Time Payment
Alicia Taylor,Compensation Administrator,Morning,Junfirsthalf,Request Compensation Change
Alicia Taylor,Compensation Administrator,Early Day,Febfirsthalf,Edit Compensation Package
Alicia Taylor,Compensation Administrator,Nightfall,Octfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Afternoon,Octsecondhalf,Edit Compensation Package
Alicia Taylor,Compensation Administrator,Early Day,Marsecondhalf,Request Compensation Change
Alicia Taylor,Compensation Administrator,Nightfall,Jansecondhalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Early Day,Octsecondhalf,In Progress Compensation Changes
Alicia Taylor,Compensation Administrator,Early Day,Aprfirsthalf,Maintain ~Locality Pay~
Alicia Taylor,Compensation Administrator,Afternoon,Octfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Nightfall,Aprsecondhalf,Edit Compensation Package
Alicia Taylor,Compensation Administrator,Early Day,Janfirsthalf,Maintain Compensation Steps
Alicia Taylor,Compensation Administrator,Morning,Octfirsthalf,Compensation Plan Assignment Audit
Alicia Taylor,Compensation Administrator,Morning,Marfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Morning,Jansecondhalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Morning,Febsecondhalf,Compensation Plan Assignment Audit
Alicia Taylor,Compensation Administrator,Nightfall,Aprsecondhalf,Compensation Plan Assignment Audit
Alicia Taylor,Compensation Administrator,Morning,Aprsecondhalf,Request One-Time Payment
Alicia Taylor,Compensation Administrator,Early Day,Mayfirsthalf,Request One-Time Payment
Alicia Taylor,Compensation Administrator,Early Day,Junfirsthalf,Maintain Compensation Steps
Alicia Taylor,Compensation Administrator,Nightfall,Augfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Nightfall,Marsecondhalf,Maintain Compensation Steps
Alicia Taylor,Compensation Administrator,Morning,Decsecondhalf,Request One-Time Payment
Alicia Taylor,Compensation Administrator,Nightfall,Junsecondhalf,Maintain Compensation Steps
Alicia Taylor,Compensation Administrator,Afternoon,Marfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Early Day,Junfirsthalf,Assign Future Payment Plans
Alicia Taylor,Compensation Administrator,Early Day,Novfirsthalf,Request Compensation Change
Alicia Taylor,Compensation Administrator,Early Day,Aprfirsthalf,One-Time Payment History
Alicia Taylor,Compensation Administrator,Morning,Junsecondhalf,View Total Rewards
Alicia Taylor,Compensation Administrator,Morning,Sepfirsthalf,Assign Future Payment Plans
